zipcode,city,state, outbound , inbound , netgain ,pct_inbound
1001,AGAWAM,MA," 6,411 "," 6,504 ", 93 ,50.4%
1002,AMHERST,MA," 13,239 "," 9,671 "," (3,568)",42.2%
1004,AMHERST,MA, 650 , 439 , (211),40.3%
1005,BARRE,MA," 1,365 "," 1,519 ", 154 ,52.7%
1007,BELCHERTOWN,MA," 4,727 "," 4,919 ", 192 ,51.0%
1008,BLANDFORD,MA, 173 , 180 , 7 ,51.0%
1009,BONDSVILLE,MA, 305 , 368 , 63 ,54.7%
1010,BRIMFIELD,MA," 1,119 "," 1,176 ", 57 ,51.2%
1011,CHESTER,MA, 214 , 134 , (80),38.5%
1012,CHESTERFIELD,MA, 58 , 24 , (34),29.3%
1013,CHICOPEE,MA," 9,951 "," 8,581 "," (1,370)",46.3%
1014,CHICOPEE,MA, 505 , 188 , (317),27.1%
1020,CHICOPEE,MA," 11,451 "," 10,579 ", (872),48.0%
1021,CHICOPEE,MA," 1,213 ", 687 , (526),36.2%
1022,CHICOPEE,MA, 805 , 886 , 81 ,52.4%
1022,WESTOVER AFB,MA, 16 , 15 , (1),48.4%
1026,CUMMINGTON,MA, 178 , 190 , 12 ,51.6%
1027,EASTHAMPTON,MA," 8,059 "," 6,918 "," (1,141)",46.2%
1028,EAST LONGMEADOW,MA," 4,912 "," 5,175 ", 263 ,51.3%
1029,EAST OTIS,MA, 430 , 556 , 126 ,56.4%
1030,FEEDING HILLS,MA," 3,238 "," 3,270 ", 32 ,50.2%
1031,GILBERTVILLE,MA, 482 , 408 , (74),45.8%
1032,GOSHEN,MA, 130 , 36 , (94),21.7%
1033,GRANBY,MA," 2,064 "," 2,018 ", (46),49.4%
1034,GRANVILLE,MA, 597 , 504 , (93),45.8%
1034,TOLLAND,MA, 46 , 71 , 25 ,60.7%
1035,HADLEY,MA," 2,411 "," 2,250 ", (161),48.3%
1036,HAMPDEN,MA," 1,255 "," 1,395 ", 140 ,52.6%
1037,HARDWICK,MA, 24 , 17 , (7),41.5%
1038,HATFIELD,MA, 856 , 828 , (28),49.2%
1039,HAYDENVILLE,MA, 267 , 299 , 32 ,52.8%
1039,WEST WHATELY,MA, 42 , 31 , (11),42.5%
1040,HOLYOKE,MA," 17,657 "," 15,373 "," (2,284)",46.5%
1041,HOLYOKE,MA," 1,487 ", 869 , (618),36.9%
1050,HUNTINGTON,MA, 855 , 779 , (76),47.7%
1050,MONTGOMERY,MA, 26 , 19 , (7),42.2%
1053,LEEDS,MA, 987 , 868 , (119),46.8%
1054,LEVERETT,MA, 537 , 603 , 66 ,52.9%
1056,LUDLOW,MA," 6,389 "," 6,064 ", (325),48.7%
1057,MONSON,MA," 2,331 "," 2,430 ", 99 ,51.0%
1060,NORTHAMPTON,MA," 10,149 "," 8,551 "," (1,598)",45.7%
1061,NORTHAMPTON,MA, 331 , 226 , (105),40.6%
1062,FLORENCE,MA," 3,828 "," 3,863 ", 35 ,50.2%
1066,NORTH HATFIELD,MA, 16 , -   , (16),0.0%
1068,OAKHAM,MA, 515 , 550 , 35 ,51.6%
1069,PALMER,MA," 3,133 "," 3,044 ", (89),49.3%
1070,PLAINFIELD,MA, 49 , 69 , 20 ,58.5%
1071,RUSSELL,MA, 266 , 203 , (63),43.3%
1072,SHUTESBURY,MA, 430 , 430 , -   ,50.0%
1073,SOUTHAMPTON,MA," 1,624 "," 1,772 ", 148 ,52.2%
1074,SOUTH BARRE,MA, 118 , 37 , (81),23.9%
1075,SOUTH HADLEY,MA," 5,964 "," 5,890 ", (74),49.7%
1077,SOUTHWICK,MA," 3,244 "," 3,283 ", 39 ,50.3%
1079,THORNDIKE,MA, 240 , 155 , (85),39.2%
1080,THREE RIVERS,MA," 1,046 "," 1,047 ", 1 ,50.0%
1081,WALES,MA, 552 , 564 , 12 ,50.5%
1082,WARE,MA," 4,699 "," 4,350 ", (349),48.1%
1083,WARREN,MA," 1,036 ", 879 , (157),45.9%
1085,MONTGOMERY,MA, 276 , 327 , 51 ,54.2%
1085,WESTFIELD,MA," 13,713 "," 12,723 ", (990),48.1%
1086,WESTFIELD,MA, 837 , 434 , (403),34.1%
1088,WEST HATFIELD,MA, 23 , 34 , 11 ,59.6%
1089,WEST SPRINGFIELD,MA," 12,188 "," 10,700 "," (1,488)",46.7%
1090,WEST SPRINGFIELD,MA, 674 , 324 , (350),32.5%
1092,WEST WARREN,MA, 303 , 223 , (80),42.4%
1093,WHATELY,MA, 70 , 23 , (47),24.7%
1095,WILBRAHAM,MA," 3,931 "," 4,378 ", 447 ,52.7%
1096,WILLIAMSBURG,MA, 730 , 922 , 192 ,55.8%
1098,WORTHINGTON,MA, 164 , 210 , 46 ,56.1%
1101,SPRINGFIELD,MA," 1,240 "," 2,293 "," 1,053 ",64.9%
1103,SPRINGFIELD,MA," 2,454 "," 2,042 ", (412),45.4%
1104,SPRINGFIELD,MA," 9,946 "," 8,856 "," (1,090)",47.1%
1105,SPRINGFIELD,MA," 7,413 "," 6,133 "," (1,280)",45.3%
1106,LONGMEADOW,MA," 4,337 "," 4,971 ", 634 ,53.4%
1107,SPRINGFIELD,MA," 5,135 "," 4,233 ", (902),45.2%
1108,SPRINGFIELD,MA," 15,596 "," 12,529 "," (3,067)",44.5%
1109,SPRINGFIELD,MA," 12,654 "," 11,350 "," (1,304)",47.3%
1115,INDIAN ORCHARD,MA, -   , 15 , 15 ,100.0%
1116,LONGMEADOW,MA, 26 , -   , (26),0.0%
1118,SPRINGFIELD,MA," 4,597 "," 4,548 ", (49),49.7%
1119,SPRINGFIELD,MA," 4,244 "," 4,052 ", (192),48.8%
1128,SPRINGFIELD,MA, 549 , 603 , 54 ,52.3%
1129,SPRINGFIELD,MA," 2,366 "," 2,442 ", 76 ,50.8%
1138,SPRINGFIELD,MA, 242 , 659 , 417 ,73.1%
1139,SPFLD,MA, -   , 16 , 16 ,100.0%
1139,SPRINGFIELD,MA, 23 , 304 , 281 ,93.0%
1151,INDIAN ORCH,MA, 493 , 397 , (96),44.6%
1151,INDIAN ORCHARD,MA," 4,268 "," 3,501 ", (767),45.1%
1151,SPRINGFIELD,MA, 150 , 152 , 2 ,50.3%
1201,PITTSFIELD,MA," 19,156 "," 17,727 "," (1,429)",48.1%
1202,PITTSFIELD,MA, 984 , 702 , (282),41.6%
1220,ADAMS,MA," 3,782 "," 3,316 ", (466),46.7%
1222,ASHLEY FALLS,MA, 11 , 92 , 81 ,89.3%
1223,BECKET,MA," 1,072 "," 1,158 ", 86 ,51.9%
1223,WASHINGTON,MA, 72 , 158 , 86 ,68.7%
1225,CHESHIRE,MA," 1,009 "," 1,028 ", 19 ,50.5%
1226,DALTON,MA," 2,116 "," 2,206 ", 90 ,51.0%
1230,EGREMONT,MA, 53 , 72 , 19 ,57.6%
1230,GREAT BARRINGTON,MA," 3,576 "," 4,189 ", 613 ,53.9%
1230,NEW MARLBOROUGH,MA, 104 , 66 , (38),38.8%
1235,HINSDALE,MA, 858 , 927 , 69 ,51.9%
1235,PERU,MA, 150 , 104 , (46),40.9%
1236,HOUSATONIC,MA, 600 , 522 , (78),46.5%
1237,HANCOCK,MA, 43 , 43 , -   ,50.0%
1237,LANESBOROUGH,MA," 1,087 "," 1,125 ", 38 ,50.9%
1238,LEE,MA," 2,502 "," 2,728 ", 226 ,52.2%
1240,LENOX,MA," 3,306 "," 3,638 ", 332 ,52.4%
1242,LENOX DALE,MA, 42 , 44 , 2 ,51.2%
1244,MILL RIVER,MA, 16 , 22 , 6 ,57.9%
1245,MONTEREY,MA, 389 , 485 , 96 ,55.5%
1245,WEST OTIS,MA, -   , 27 , 27 ,100.0%
1247,CLARKSBURG,MA, 154 , 116 , (38),43.0%
1247,NORTH ADAMS,MA," 6,650 "," 5,855 ", (795),46.8%
1253,OTIS,MA, 686 , 672 , (14),49.5%
1254,RICHMOND,MA, 281 , 379 , 98 ,57.4%
1255,SANDISFIELD,MA, 111 , 208 , 97 ,65.2%
1256,SAVOY,MA, -   , 34 , 34 ,100.0%
1257,SHEFFIELD,MA, 933 ," 1,078 ", 145 ,53.6%
1258,S EGREMONT,MA, 22 , -   , (22),0.0%
1258,SOUTH EGREMONT,MA, 199 , 433 , 234 ,68.5%
1259,SOUTHFIELD,MA, 52 , 182 , 130 ,77.8%
1262,STOCKBRIDGE,MA," 1,387 "," 1,281 ", (106),48.0%
1264,TYRINGHAM,MA, 18 , -   , (18),0.0%
1266,ALFORD,MA, 14 , -   , (14),0.0%
1266,W STOCKBRIDGE,MA, 11 , 37 , 26 ,77.1%
1266,WEST STOCKBRIDGE,MA, 983 , 867 , (116),46.9%
1267,WILLIAMSTOWN,MA," 2,844 "," 3,051 ", 207 ,51.8%
1270,WINDSOR,MA, 14 , 15 , 1 ,51.7%
1301,GREENFIELD,MA," 8,003 "," 7,401 ", (602),48.0%
1302,GREENFIELD,MA, 292 , 241 , (51),45.2%
1330,ASHFIELD,MA, 393 , 435 , 42 ,52.5%
1331,ATHOL,MA," 5,696 "," 5,757 ", 61 ,50.3%
1337,BERNARDSTON,MA, 749 , 724 , (25),49.2%
1337,LEYDEN,MA, 54 , 71 , 17 ,56.8%
1339,CHARLEMONT,MA, 436 , 440 , 4 ,50.2%
1339,HAWLEY,MA, 92 , 53 , (39),36.6%
1340,COLRAIN,MA, 487 , 476 , (11),49.4%
1341,CONWAY,MA, 134 , 275 , 141 ,67.2%
1342,DEERFIELD,MA, 339 , 221 , (118),39.5%
1344,ERVING,MA, 212 , 168 , (44),44.2%
1346,HEATH,MA, 11 , 22 , 11 ,66.7%
1347,LAKE PLEASANT,MA, -   , 11 , 11 ,100.0%
1349,MILLERS FALLS,MA, 48 , 77 , 29 ,61.6%
1351,MONTAGUE,MA, 861 , 783 , (78),47.6%
1354,GILL,MA, 187 , 329 , 142 ,63.8%
1355,NEW SALEM,MA, 11 , 25 , 14 ,69.4%
1360,NORTHFIELD,MA, 955 ," 1,014 ", 59 ,51.5%
1364,ORANGE,MA," 3,136 "," 3,158 ", 22 ,50.2%
1366,PETERSHAM,MA, 63 , 255 , 192 ,80.2%
1367,ROWE,MA, 12 , -   , (12),0.0%
1368,ROYALSTON,MA, 115 , 202 , 87 ,63.7%
1370,SHELBURNE FALLS,MA," 1,441 "," 1,523 ", 82 ,51.4%
1370,SHELBURNE FLS,MA, 70 , 61 , (9),46.6%
1373,S DEERFIELD,MA, 200 , 274 , 74 ,57.8%
1373,SOUTH DEERFIELD,MA," 1,317 "," 1,470 ", 153 ,52.7%
1375,SUNDERLAND,MA," 2,376 "," 1,834 ", (542),43.6%
1376,TURNERS FALLS,MA," 2,435 "," 2,207 ", (228),47.5%
1378,WARWICK,MA, 12 , 36 , 24 ,75.0%
1379,WENDELL,MA, 70 , 62 , (8),47.0%
1420,FITCHBURG,MA," 21,006 "," 19,636 "," (1,370)",48.3%
1430,ASHBURNHAM,MA," 2,128 "," 2,205 ", 77 ,50.9%
1431,ASHBY,MA," 1,024 ", 925 , (99),47.5%
1432,AYER,MA," 3,181 "," 3,134 ", (47),49.6%
1434,DEVENS,MA, 98 , 162 , 64 ,62.3%
1436,BALDWINVILLE,MA, 866 , 986 , 120 ,53.2%
1438,EAST TEMPLETON,MA, 56 , 12 , (44),17.6%
1440,GARDNER,MA," 10,007 "," 9,135 ", (872),47.7%
1450,GROTON,MA," 2,793 "," 3,155 ", 362 ,53.0%
1451,HARVARD,MA," 1,395 "," 1,659 ", 264 ,54.3%
1452,HUBBARDSTON,MA," 1,194 "," 1,218 ", 24 ,50.5%
1453,LEOMINSTER,MA," 18,739 "," 17,809 ", (930),48.7%
1460,LITTLETON,MA," 3,024 "," 3,255 ", 231 ,51.8%
1462,LUNENBURG,MA," 4,162 "," 4,129 ", (33),49.8%
1463,PEPPERELL,MA," 3,509 "," 3,775 ", 266 ,51.8%
1464,SHIRLEY,MA," 1,860 "," 1,889 ", 29 ,50.4%
