year,cbsa_title,DMA,outbound,inbound,netgain,pct_inbound
2018,"Aberdeen, SD",NA,435,228,-207,0.3438914027149321
2018,"Aberdeen, WA",NA,662,561,-101,0.45870809484873265
2018,"Abilene, TX",NA,1361,1321,-40,0.4925428784489187
2018,"Ada, OK",NA,230,228,-2,0.4978165938864629
2018,"Adrian, MI",NA,923,606,-317,0.39633747547416615
2018,"Akron, OH",NA,5543,4587,-956,0.45281342546890424
2018,"Alamogordo, NM",NA,464,440,-24,0.48672566371681414
2018,"Albany-Lebanon, OR",NA,1189,1162,-27,0.4942577626541897
2018,"Albany-Schenectady-Troy, NY",NA,8726,6526,-2200,0.4278783110411749
2018,"Albany, GA",NA,1003,1022,19,0.5046913580246913
2018,"Albemarle, NC",NA,265,301,36,0.5318021201413428
2018,"Albert Lea, MN",NA,315,229,-86,0.4209558823529412
2018,"Albertville, AL",NA,605,567,-38,0.48378839590443684
2018,"Albuquerque, NM",NA,6336,6214,-122,0.4951394422310757
2018,"Alexander City, AL",NA,240,284,44,0.5419847328244275
2018,"Alexandria, LA",NA,980,903,-77,0.4795539033457249
2018,"Alexandria, MN",NA,498,238,-260,0.3233695652173913
2018,"Alice, TX",NA,153,127,-26,0.45357142857142857
2018,"Allentown-Bethlehem-Easton, PA-NJ",NEW YORK,6552,5701,-851,0.4652738104953889
2018,"Alma, MI",NA,347,223,-124,0.3912280701754386
2018,"Alpena, MI",NA,407,195,-212,0.3239202657807309
2018,"Altoona, PA",NA,824,676,-148,0.45066666666666666
2018,"Altus, OK",NA,178,146,-32,0.4506172839506173
2018,"Amarillo, TX",NA,2001,1761,-240,0.46810207336523124
2018,"Americus, GA",NA,184,175,-9,0.48746518105849584
2018,"Ames, IA",NA,1166,758,-408,0.39397089397089397
2018,"Amsterdam, NY",NA,552,455,-97,0.45183714001986097
2018,"Anchorage, AK",NA,3073,2784,-289,0.4753286665528427
2018,"Andrews, TX",NA,156,110,-46,0.41353383458646614
2018,"Angola, IN",NA,544,267,-277,0.32922318125770655
2018,"Ann Arbor, MI",NA,3067,2235,-832,0.42153904187099206
2018,"Anniston-Oxford, AL",NA,745,725,-20,0.4931972789115646
2018,"Appleton, WI",NA,1933,1466,-467,0.431303324507208
2018,"Arcadia, FL",NA,201,907,706,0.8185920577617328
2018,"Ardmore, OK",NA,486,368,-118,0.4309133489461358
2018,"Arkadelphia, AR",NA,169,150,-19,0.4702194357366771
2018,"Asheville, NC",NA,3693,3358,-335,0.4762445043256276
2018,"Ashland, OH",NA,360,295,-65,0.45038167938931295
2018,"Ashtabula, OH",NA,829,605,-224,0.42189679218967924
2018,"Astoria, OR",NA,393,364,-29,0.4808454425363276
2018,"Atchison, KS",NA,100,77,-23,0.4350282485875706
2018,"Athens-Clarke County, GA",NA,1250,1107,-143,0.4696648281714043
2018,"Athens, OH",NA,466,390,-76,0.45560747663551404
2018,"Athens, TN",NA,375,353,-22,0.4848901098901099
2018,"Athens, TX",NA,610,618,8,0.503257328990228
2018,"Atlanta-Sandy Springs-Alpharetta, GA",NA,45949,46181,232,0.5012590904157169
2018,"Atlantic City-Hammonton, NJ",PHILADELPHIA,2304,1868,-436,0.4477468839884947
2018,"Atmore, AL",NA,180,168,-12,0.4827586206896552
2018,"Auburn-Opelika, AL",NA,895,825,-70,0.4796511627906977
2018,"Auburn, IN",NA,359,293,-66,0.4493865030674847
2018,"Auburn, NY",NA,739,499,-240,0.40306946688206785
2018,"Augusta-Richmond County, GA-SC",NA,4339,4208,-131,0.49233649233649235
